epoch,phase,loss,accuracy
1,train,1.2345421048682215,0.8067734682405846
1,test,0.5392380141869217,0.8646817248459959
2,train,1.2083202607515087,0.8248454187745925
2,test,0.5376634724820664,0.8650924024640657
3,train,1.1797563406508447,0.8280494659921305
3,test,0.5359027604914789,0.8650924024640657
4,train,1.1710424702846984,0.8302698145025296
4,test,0.5354675699797988,0.8640657084188912
5,train,1.2478812623921909,0.7966835300730748
5,test,0.5391771059383846,0.8626283367556468
6,train,1.1894305909732006,0.821557054525014
6,test,0.5382028924243896,0.864271047227926
7,train,1.244836731014659,0.8041315345699831
7,test,0.5417575208925368,0.8640657084188912
8,train,1.211039104630533,0.810539629005059
8,test,0.539133989847661,0.864476386036961
9,train,1.2366293921505487,0.8025295109612142
9,test,0.5378762704023835,0.864476386036961
10,train,1.1882937462427698,0.8130972456436201
10,test,0.5361587621225713,0.8648870636550308
11,train,1.1923131538951846,0.8229623383923552
11,test,0.5373716858745355,0.8632443531827515
12,train,1.2135954790533494,0.8169477234401349
12,test,0.5402498973223708,0.8646817248459959
13,train,1.213342481560088,0.8122259696458685
13,test,0.5371023345409722,0.8638603696098562
14,train,1.235705783931374,0.7962619449128724
14,test,0.5479076458565754,0.8626283367556468
15,train,1.1870274362837485,0.8249859471613266
15,test,0.5353673561397764,0.8646817248459959
16,train,1.246747247820292,0.7992411467116357
16,test,0.5405299845417422,0.8624229979466119
17,train,1.2026885971519101,0.8248173130972456
17,test,0.5383352497397507,0.864271047227926
18,train,1.2202332747391331,0.8060989319842609
18,test,0.5385753095272385,0.8646817248459959
19,train,1.2560058043738842,0.7963462619449129
19,test,0.5404741805314528,0.8646817248459959
20,train,1.212773288656581,0.8125351320966835
20,test,0.5380816824504727,0.864271047227926
21,train,1.1803374478024937,0.8179595278246206
21,test,0.5324619728069775,0.8648870636550308
22,train,1.233577353784112,0.8023046655424396
22,test,0.5359500674374049,0.8650924024640657
