epoch,phase,loss,accuracy
1,train,2.2103319316047036,0.2044406970207982
1,test,1.9930814992720587,0.2593429158110883
2,train,2.0872875419743213,0.2801292861157954
2,test,1.7633968529025632,0.3570841889117043
3,train,1.9972676796883664,0.32599775154581223
3,test,1.643221648762603,0.39999999999999997
4,train,1.9861625768415978,0.33580663293985386
4,test,1.617041222172841,0.43675564681724843
5,train,1.9631883263252905,0.34856661045531195
5,test,1.555354196726664,0.4283367556468172
6,train,1.939400548637416,0.3603428892636313
6,test,1.5497391146066497,0.43983572895277206
7,train,1.9246162073474173,0.37077009555930296
7,test,1.525624378408005,0.46036960985626285
8,train,1.8984985181359242,0.38510399100618325
8,test,1.4780395243936495,0.4757700205338809
