epoch,phase,loss,accuracy
1,train,1.909459497742334,0.40854412591343453
1,test,1.352926409709625,0.5248459958932238
2,train,1.9249718888815097,0.40075885328836425
2,test,1.3343397383817168,0.5252566735112937
3,train,1.9215216076327148,0.40331646992692527
3,test,1.3276436423863718,0.5388090349075976
4,train,1.9330676069147068,0.397442383361439
4,test,1.3251399263464205,0.5347022587268994
5,train,1.921946606252755,0.4082911748173131
5,test,1.3293751422874247,0.5398357289527721
6,train,1.9073441237931577,0.4106239460370995
6,test,1.3220719311516387,0.5324435318275154
7,train,1.9091165687208298,0.4129848229342327
7,test,1.316532748778498,0.5392197125256674
8,train,1.904942423524047,0.4141371557054525
8,test,1.3296475032516573,0.5330595482546201
9,train,1.897007255288843,0.41762225969645866
9,test,1.328585971503287,0.5369609856262834
10,train,1.9102245863399323,0.41115795390668913
10,test,1.3111125131407313,0.5377823408624229
11,train,1.9233682206268052,0.40165823496346265
11,test,1.311920883915018,0.5392197125256674
12,train,1.9094534607802032,0.41374367622259695
12,test,1.291623439779027,0.5478439425051335
13,train,1.904060007468444,0.41793142214727375
13,test,1.3140524622840803,0.5373716632443531
14,train,1.901336578789422,0.41486790331646994
14,test,1.306025523424638,0.5470225872689938
15,train,1.9163745508360153,0.4065205171444632
15,test,1.2994930820053852,0.5492813141683778
16,train,1.913784683936764,0.40868465430016865
16,test,1.3098879711828681,0.5441478439425051
17,train,1.9083567927029776,0.4148397976391231
17,test,1.3037091645371988,0.5457905544147844
18,train,1.8933477181407292,0.4218381112984823
18,test,1.3044544547000705,0.5517453798767967
19,train,1.8851756845316638,0.4216132658797077
19,test,1.2900162725722766,0.5507186858316222
20,train,1.893850916607317,0.4232152894884767
20,test,1.281062606472744,0.5587268993839836
21,train,1.8951025911768613,0.42037661607644744
21,test,1.3036225924501674,0.5447638603696099
22,train,1.9145672228042834,0.41273187183811133
22,test,1.298990978695284,0.5459958932238193
23,train,1.8966026656342196,0.41930860033726813
23,test,1.26724052561382,0.5585215605749486
24,train,1.885028695725135,0.42990444069702083
24,test,1.2913738718757395,0.553388090349076
25,train,1.8890214519061153,0.42549184935356943
25,test,1.2672645135581861,0.5611909650924024
26,train,1.8912660267461612,0.42661607644744237
26,test,1.2819960605437262,0.5595482546201231
27,train,1.8928878337630668,0.4206576728499157
27,test,1.2772225566468445,0.5591375770020534
