epoch,phase,loss,accuracy
1,train,2.2635344113708546,0.17200674536256325
1,test,2.0712429774125742,0.21540041067761806
2,train,2.15499339098338,0.1997751545812254
2,test,2.1689595239118384,0.18069815195071867
3,train,2.180918929789963,0.18887015177065766
3,test,2.171274350849755,0.17618069815195073
4,train,2.1562676381233907,0.196008993816751
4,test,2.0798536588523913,0.19260780287474333
5,train,2.1742451074888627,0.18917931422147274
5,test,2.159967110827718,0.19096509240246407
6,train,2.1584731646104096,0.19983136593591905
6,test,2.0836283968704192,0.21745379876796714
