epoch,phase,loss,accuracy
1,train,2.2741820655423917,0.18659359190556493
1,test,2.0025087447626633,0.24702258726899384
2,train,2.1888507360283613,0.21958965711073636
2,test,1.9867250836115844,0.25770020533880905
3,train,2.166943300192513,0.2316469926925239
3,test,1.9878382515368764,0.2718685831622177
4,train,2.1676699156704884,0.23344575604272064
4,test,1.9957789766715048,0.24743326488706366
5,train,2.1649157012695004,0.23608768971332209
5,test,1.920473810485746,0.30123203285420946
6,train,2.1451026145898604,0.24716132658797077
6,test,1.9531459138623497,0.2763860369609856
7,train,2.1478579753566955,0.2478639685216414
7,test,1.9284878756231352,0.2913757700205339
8,train,2.1428798193071183,0.24845418774592468
8,test,1.9009948412250934,0.3024640657084189
