epoch,phase,loss,accuracy
1,train,0.4862323505346396,0.8363687464867904
1,test,0.5734496420780981,0.8061601642710472
2,train,0.475040034064421,0.8390949971894323
2,test,0.6009965068459878,0.8014373716632444
3,train,0.47582995360858527,0.8369589657110736
3,test,0.5671381096682632,0.8114989733059548
4,train,0.4647922843811953,0.8401630129286116
4,test,0.6014049302136384,0.7997946611909651
5,train,0.4556721105945452,0.8424114671163575
5,test,0.6063900025794761,0.8026694045174538
6,train,0.4475345108165977,0.8464305789769534
6,test,0.5869562157202183,0.8063655030800821
7,train,0.4507152922907996,0.8449971894322653
7,test,0.6012671852182192,0.8049281314168377
8,train,0.43489088757846245,0.848735244519393
8,test,0.5912123516660941,0.8086242299794661
