epoch,phase,loss,accuracy
1,train,2.205028423718886,0.22282181000562115
1,test,1.8481769699825155,0.3158110882956879
2,train,2.073430750650124,0.301602023608769
2,test,1.6699938005000903,0.40698151950718686
3,train,2.0056339970996637,0.3465992130410343
3,test,1.5096931825673066,0.48521560574948663
4,train,1.9818542700258783,0.36458684654300166
4,test,1.4849408253017637,0.4952772073921971
5,train,1.9669080653573905,0.3767284991568297
5,test,1.5100811035970887,0.459958932238193
6,train,1.9319617951834316,0.3972175379426644
6,test,1.3782389117951754,0.5406570841889117
7,train,1.9185204839894046,0.4082630691399663
7,test,1.3873414625132598,0.524435318275154
8,train,1.8982367117529575,0.42119168071950536
8,test,1.3291087547122087,0.5468172484599589
9,train,1.8944090618585991,0.42363687464867905
9,test,1.3274617664623065,0.5392197125256674
10,train,1.891725452673978,0.4317594154019112
10,test,1.2958098082082228,0.5718685831622177
11,train,1.8739546723818765,0.44044406970207983
11,test,1.2369698716874484,0.5806981519507187
12,train,1.8635002741993245,0.4467397414277684
12,test,1.2650188809792364,0.5735112936344969
13,train,1.8510624198849246,0.45
13,test,1.2217997375210208,0.6069815195071868
14,train,1.8366872526273894,0.46264755480607084
14,test,1.2036636509689707,0.6
15,train,1.8243740869278717,0.4713041034288926
15,test,1.1549627860713543,0.6061601642710472
16,train,1.8395950971526198,0.4624789207419899
16,test,1.1978123593868906,0.5973305954825462
17,train,1.8226605963211102,0.47037661607644743
17,test,1.1634956736094653,0.6301848049281314
18,train,1.7964870499787269,0.48055087127599777
18,test,1.1309416416489368,0.6363449691991786
19,train,1.8017146406179068,0.4830522765598651
19,test,1.1263375928514547,0.6301848049281314
20,train,1.8105652556384528,0.47937043282743114
20,test,1.2571318038924764,0.6016427104722792
21,train,1.7865894126248802,0.5001405283867342
21,test,1.1459603324563106,0.6314168377823408
22,train,1.8127975669719316,0.47751545812254076
22,test,1.0857174030809187,0.6388090349075976
23,train,1.78595789823055,0.49994378864530636
23,test,1.0848003436652542,0.6593429158110883
24,train,1.7934379763788155,0.49151208544125913
24,test,1.1438971487893217,0.6320328542094455
25,train,1.7685805352368067,0.5058178752107926
25,test,1.065341127188054,0.6718685831622176
26,train,1.749058838491027,0.516132658797077
26,test,1.0011690889051073,0.6815195071868583
27,train,1.7654223443685857,0.5078133783024171
27,test,1.018891810489631,0.6804928131416838
28,train,1.7662596820913854,0.5113265879707701
28,test,1.0342827885302674,0.6743326488706365
29,train,1.735849609878909,0.5289207419898819
29,test,1.030006457794863,0.6765913757700205
30,train,1.7263198558904937,0.5330241708825183
30,test,0.9471887571855737,0.7055441478439425
31,train,1.7214935600657084,0.537211916807195
31,test,1.01322687098133,0.7028747433264887
32,train,1.713649199369451,0.5349634626194492
32,test,1.0120982080514427,0.6975359342915811
33,train,1.7010319046253164,0.542017987633502
33,test,1.007236468987788,0.6864476386036961
34,train,1.726186368249654,0.5371838111298483
34,test,0.9855352462194783,0.6924024640657084
35,train,1.7007899792024164,0.5460089938167509
35,test,0.9917624964851128,0.6905544147843943
36,train,1.6801144508782098,0.5562113546936481
36,test,0.9326760599011024,0.71129363449692
37,train,1.6767986001694986,0.5663012928611579
37,test,0.9434701543324292,0.7158110882956878
38,train,1.7045813129616962,0.5535413153456998
38,test,0.9516146230501805,0.7014373716632444
39,train,1.690215238672485,0.557672849915683
39,test,0.9483157592632443,0.724435318275154
40,train,1.6731363990321597,0.5663012928611579
40,test,0.9054449873293694,0.7240246406570842
41,train,1.6809516455364601,0.5668353007307476
41,test,0.9366736152823211,0.7172484599589323
42,train,1.6537913179049135,0.5746486790331647
42,test,0.890910400257463,0.7229979466119096
43,train,1.6616627991635053,0.5702922990444069
43,test,0.9195401987255966,0.7207392197125256
44,train,1.684335940684275,0.564052838673412
44,test,0.9132689297321641,0.7190965092402464
45,train,1.6841327602237446,0.5636312535132096
45,test,0.8752569708736035,0.7342915811088295
46,train,1.640309949253569,0.5861439010680157
46,test,0.8638383289137416,0.7480492813141684
47,train,1.6614616828932396,0.5716975829117482
47,test,0.9072247918871149,0.7186858316221766
48,train,1.6357521433720366,0.5921585160202361
48,test,0.8736739386278501,0.7338809034907597
49,train,1.640479642048922,0.5889544688026982
49,test,0.891639271653898,0.7412731006160164
50,train,1.6542640742724903,0.5829679595278247
50,test,0.8516235926312833,0.7593429158110883
51,train,1.6351934324160529,0.5903597526700394
51,test,0.823449882981224,0.7560574948665297
52,train,1.6466412992541746,0.5801292861157954
52,test,0.891414485783058,0.7470225872689938
53,train,1.6640036748861449,0.5842889263631253
53,test,0.8606872549781565,0.762012320328542
54,train,1.6197899357531431,0.6018549747048904
54,test,0.8175115037013373,0.762217659137577
55,train,1.6105168244622945,0.609274873524452
55,test,0.8221777311830305,0.7544147843942505
56,train,1.6319800094247467,0.6000843170320405
56,test,0.8665839582987634,0.7490759753593429
57,train,1.6444859894692998,0.5911748173130973
57,test,0.8065842567528053,0.7691991786447638
58,train,1.601312164968155,0.609752670039348
58,test,0.8257784848585266,0.7634496919917865
59,train,1.6103536789842106,0.6073074761101742
59,test,0.8309619534921352,0.7585215605749487
60,train,1.6232997812803975,0.6036256323777404
60,test,0.8021506903964636,0.7770020533880904
61,train,1.594089176401521,0.6180438448566611
61,test,0.8215650611344794,0.7574948665297742
62,train,1.6015962709664897,0.6207982012366499
62,test,0.7841383327326491,0.7778234086242299
63,train,1.6095220125813776,0.6088251826869028
63,test,0.8091161213616326,0.7739219712525667
64,train,1.5769322651433704,0.6353569421023046
64,test,0.7559714769068685,0.7852156057494867
65,train,1.5798627179013403,0.6251545812254076
65,test,0.77497392699459,0.7698151950718686
66,train,1.6029660617722226,0.6143338954468803
66,test,0.7685328539514443,0.7788501026694045
67,train,1.6018712727121587,0.622372119168072
67,test,0.7483871164018369,0.7856262833675565
68,train,1.6012220297186746,0.6240022484541877
68,test,0.8013029719525049,0.779876796714579
69,train,1.5807122783489345,0.626672287802136
69,test,0.7873006840261346,0.7755646817248459
70,train,1.5815674374919717,0.6297920179876335
70,test,0.7438936713295061,0.7870636550308008
71,train,1.594474542348689,0.6269252388982575
71,test,0.7443976743632519,0.795482546201232
72,train,1.5458583914744446,0.6486509274873524
72,test,0.7450482713123612,0.7926078028747433
73,train,1.5812930692106637,0.6288364249578415
73,test,0.7188087330216989,0.7913757700205338
74,train,1.5671186236064711,0.6370994940978078
74,test,0.7466739736910474,0.7921971252566735
75,train,1.5634572039299162,0.6393760539629005
75,test,0.7666184129656218,0.7878850102669405
76,train,1.5553530245299014,0.6340078695896572
76,test,0.734231911155967,0.7913757700205338
77,train,1.5807592226857212,0.6281337830241709
77,test,0.7316737565171793,0.795482546201232
78,train,1.5990362228738786,0.6195896571107363
78,test,0.6824810095391479,0.8006160164271047
79,train,1.5703563957954136,0.6371275997751545
79,test,0.7316438759132088,0.7995893223819301
80,train,1.5268384926100673,0.6637155705452501
80,test,0.6935001050299933,0.8008213552361396
81,train,1.5700660298150735,0.6422428330522766
81,test,0.7466098262544041,0.7919917864476386
82,train,1.5635361008593176,0.6469926925238898
