epoch,phase,loss,accuracy
1,train,0.16876551312064106,0.9589094997189432
1,test,0.44098660782805704,0.8560574948665297
2,train,0.08269720084592491,0.9802417088251827
2,test,0.4703236906435455,0.8525667351129363
3,train,0.04536902910122515,0.9907251264755481
3,test,0.5056248726051691,0.8564681724845996
4,train,0.024932646267262652,0.9958122540753233
4,test,0.5368121327591383,0.8550308008213552
5,train,0.014227037957150692,0.9984260820685779
5,test,0.573296986798731,0.8509240246406571
6,train,0.009258727751988468,0.999044406970208
6,test,0.6037435824085922,0.8505133470225873
