epoch,phase,loss,accuracy
1,train,2.2030757872960485,0.23754918493535696
1,test,1.8261004578161533,0.34188911704312114
2,train,2.100809804611892,0.2935919055649241
2,test,1.771248274025731,0.3776180698151951
3,train,2.05957742954252,0.3165542439572794
3,test,1.6806929384658469,0.40595482546201234
4,train,2.015391939821506,0.3405564924114671
4,test,1.5918374214329025,0.4330595482546201
5,train,2.000880693545028,0.35193929173693084
5,test,1.539079425124417,0.46057494866529775
6,train,1.9589509296846095,0.3739179314221473
6,test,1.5097596345251345,0.4731006160164271
7,train,1.9642349995274835,0.370123664980326
7,test,1.5649179818938646,0.4589322381930185
8,train,1.9250343238590406,0.3978920741989882
8,test,1.494109593573537,0.488911704312115
9,train,1.939102391221002,0.3881956155143339
9,test,1.4085330252774686,0.5215605749486653
10,train,1.9040580259540767,0.4100899381675098
10,test,1.3827208318749493,0.5344969199178645
11,train,1.907887130871859,0.4093310848791456
11,test,1.3280858518161813,0.5394250513347022
12,train,1.90745688946881,0.41661045531197305
12,test,1.322722319949579,0.5462012320328542
13,train,1.907237469741238,0.41641371557054524
13,test,1.2926521670402198,0.5741273100616017
14,train,1.8797314329050845,0.4281899943788645
14,test,1.314002206242305,0.575359342915811
15,train,1.8535794550813671,0.45264193367060146
15,test,1.2478689879117806,0.5848049281314168
16,train,1.8908413204334638,0.43698707138842047
16,test,1.2803668874000378,0.5691991786447639
17,train,1.81690926077394,0.45820685778527265
17,test,1.2935141246176842,0.5903490759753593
18,train,1.8127657350896114,0.47037661607644743
18,test,1.2181024508799372,0.5950718685831622
19,train,1.8629975749241494,0.43974142776840924
19,test,1.2490135220776348,0.5975359342915811
20,train,1.8288864869090398,0.4724283305227656
20,test,1.2369984363383582,0.5960985626283367
21,train,1.846602118209616,0.45753232152894885
21,test,1.1979004832508628,0.62217659137577
22,train,1.7964443961042176,0.4819842608206858
22,test,1.1936038443195256,0.6131416837782341
23,train,1.8079382071674641,0.4845699831365936
23,test,1.1281675971264222,0.6462012320328542
24,train,1.7883743343894705,0.4910905002810568
24,test,1.1619344508623441,0.6410677618069816
25,train,1.7856645808453102,0.5011523327712198
25,test,1.116365919759386,0.6486652977412731
26,train,1.75757831307594,0.5076166385609894
